epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,2727.33,0.58116,0.32686,0.96467,0.9836,1,0.99386,0.81314,0.54593,0.32042,0.98948,0.00129125,0.00129125,0.00129125
97,2755.26,0.59898,0.35201,0.97015,0.98035,1,0.995,0.80822,0.56873,0.33678,0.99811,0.00128398,0.00128398,0.00128398
98,2784.2,0.60496,0.34806,0.96611,0.98234,1,0.995,0.81389,0.55735,0.29477,0.98762,0.00127666,0.00127666,0.00127666
99,2813.55,0.64499,0.37178,1.00498,0.98444,1,0.995,0.82138,0.5874,0.29308,1.02073,0.00126929,0.00126929,0.00126929
100,2841.64,0.59937,0.35886,0.95461,0.99769,1,0.995,0.81093,0.55791,0.27427,1.01216,0.00126188,0.00126188,0.00126188
101,2869.96,0.59862,0.34865,0.96788,0.99748,1,0.995,0.81477,0.55959,0.27772,1.02709,0.00125442,0.00125442,0.00125442
102,2898.04,0.58662,0.32992,0.95793,0.98236,1,0.995,0.82268,0.53062,0.28076,0.9951,0.00124691,0.00124691,0.00124691
103,2926.83,0.59877,0.35905,0.96719,0.98181,1,0.99471,0.81737,0.53602,0.30348,0.97928,0.00123936,0.00123936,0.00123936
104,2955.76,0.58711,0.34174,0.96594,0.99701,1,0.995,0.80904,0.58999,0.30461,1.01217,0.00123177,0.00123177,0.00123177
105,2984,0.6094,0.35555,0.99075,0.99508,1,0.995,0.80195,0.56123,0.26623,1.00432,0.00122413,0.00122413,0.00122413
106,3011.99,0.60168,0.34676,0.9694,0.99395,0.99961,0.995,0.81396,0.53244,0.26326,0.98705,0.00121645,0.00121645,0.00121645
107,3040.12,0.5874,0.32614,0.95996,0.98893,0.99803,0.995,0.8234,0.54437,0.27782,1.00067,0.00120873,0.00120873,0.00120873
108,3068.17,0.5933,0.34145,0.96251,0.99253,1,0.995,0.81125,0.56246,0.28391,1.00663,0.00120097,0.00120097,0.00120097
109,3096.92,0.59438,0.3442,0.96162,0.99632,1,0.995,0.80015,0.5826,0.2913,1.0289,0.00119317,0.00119317,0.00119317
110,3125.9,0.60153,0.35485,0.96837,0.99774,1,0.995,0.82723,0.57213,0.28717,1.02637,0.00118534,0.00118534,0.00118534
111,3153.94,0.60567,0.36695,0.97713,0.99644,1,0.995,0.81626,0.59666,0.2894,1.03053,0.00117746,0.00117746,0.00117746
112,3182.04,0.56979,0.33051,0.93475,0.99136,1,0.995,0.81987,0.56199,0.2943,1.01997,0.00116955,0.00116955,0.00116955
113,3210.07,0.56577,0.34426,0.96095,0.99522,0.9995,0.995,0.83178,0.54825,0.26263,0.99182,0.0011616,0.0011616,0.0011616
114,3238.25,0.57326,0.33077,0.96029,0.99242,1,0.995,0.82088,0.55298,0.28161,1.00753,0.00115362,0.00115362,0.00115362
115,3267.71,0.60477,0.34384,0.98096,0.99625,1,0.995,0.80575,0.5924,0.28724,1.03661,0.0011456,0.0011456,0.0011456
116,3296.27,0.55834,0.32258,0.9395,0.98292,1,0.99429,0.82536,0.5433,0.29001,1.00208,0.00113755,0.00113755,0.00113755
117,3324.87,0.60623,0.35566,0.98408,0.98365,1,0.99471,0.81126,0.57723,0.29487,1.00999,0.00112946,0.00112946,0.00112946
118,3353.41,0.59492,0.35741,0.95948,0.98357,1,0.995,0.82274,0.59482,0.29076,1.01469,0.00112135,0.00112135,0.00112135
119,3381.84,0.57282,0.33138,0.97484,0.98314,1,0.99429,0.82008,0.56449,0.29708,1.02009,0.0011132,0.0011132,0.0011132
120,3410.5,0.57912,0.32611,0.96067,0.98338,1,0.99429,0.81052,0.5511,0.28925,0.99508,0.00110503,0.00110503,0.00110503
121,3439.33,0.58762,0.32861,0.95723,0.99548,1,0.995,0.82485,0.53666,0.28637,1.00096,0.00109683,0.00109683,0.00109683
122,3467.8,0.55155,0.31969,0.95195,0.98225,1,0.995,0.83011,0.53803,0.29353,0.99871,0.00108859,0.00108859,0.00108859
123,3496.34,0.55314,0.32468,0.93561,0.99395,1,0.995,0.81863,0.53961,0.26548,1.00529,0.00108033,0.00108033,0.00108033
124,3524.78,0.54899,0.33381,0.9435,0.99596,1,0.995,0.82594,0.54295,0.26418,0.99709,0.00107205,0.00107205,0.00107205
125,3553.24,0.53894,0.32358,0.93508,0.98398,1,0.995,0.83158,0.50543,0.26819,0.9744,0.00106374,0.00106374,0.00106374
126,3581.94,0.55745,0.31557,0.94452,0.98292,1,0.99429,0.81415,0.5631,0.304,1.00528,0.0010554,0.0010554,0.0010554
127,3610.47,0.58212,0.32464,0.96294,0.98036,1,0.99429,0.83122,0.527,0.28971,0.99917,0.00104705,0.00104705,0.00104705
128,3638.47,0.57712,0.31369,0.95647,0.98483,1,0.995,0.82288,0.52981,0.25863,0.98058,0.00103866,0.00103866,0.00103866
129,3666.48,0.57431,0.33156,0.9444,0.98344,1,0.995,0.83055,0.51589,0.26435,0.98309,0.00103026,0.00103026,0.00103026
130,3695.24,0.56994,0.32018,0.93733,0.98183,1,0.995,0.81801,0.53616,0.29816,1.00333,0.00102184,0.00102184,0.00102184
131,3724.76,0.53782,0.3097,0.92924,0.99305,1,0.995,0.82015,0.54503,0.26804,1.00517,0.0010134,0.0010134,0.0010134
